ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
kids		0	Детские	kids	для детей	icons/kids.png					
kids_1	kids	1	Хоккей	hockey	хоккей: набор детей от 4 лет	https://pride34.ru/wp-content/uploads/2022/12/hokkey-cover-480x320.jpg	covers/hokkey.jpg	Набираем мальчиков и девочек с 4 лет в спортивно‑оздоровительные группы и группы начальной подготовки. Тренировки проходят на крытой ледовой арене «Прайд» по методике «Красная машина» с участием в турнирах и отборе в профессиональные клубы. Стоимость: разовая тренировка — 650 р; 8 тренировок — 3900 р; 12 тренировок — 5800 р; пробное занятие и коньки на первую тренировку бесплатно.			
kids_2	kids	1	Фигурное катание	skating	для детей от 3,5 лет	https://pride34.ru/wp-content/uploads/2022/12/figurnoe-cover-480x320.jpg	covers/figurnoe.jpg	Фигурное катание развивает гибкость, силу, координацию и артистизм. Занятия, помогают освоить элементы скольжения, вращения и прыжков. Стоимость: разовая тренировка — 650 р; 8 тренировок — 3900 р; 12 тренировок — 5800 р; пробное занятие бесплатно. Расписание и тренер уточняйте у администратора.			
kids_3	kids	1	Кроссфит	crossfit_kids	функциональные тренировки для силы, выносливости и координации	https://pride34.ru/wp-content/uploads/2012/07/stepan-strjuchkov.jpg	https://pride34.ru/wp-content/uploads/2012/07/stepan-strjuchkov.jpg	Функциональные тренировки сочетают кардио, гимнастические и силовые упражнения, развивая выносливость, гибкость и координацию. Тренер Степан Стрючков.<br>Расписание: Вт, Чт 17:00–18:00; Вс 14:00–15:00<br>1 занятие — 300 р; 8 занятий — 3200 р; 12 занятий — 3600 р			
kids_4	kids	1	Детская акробатика	acrobatics	развитие гибкости, ловкости и силы	https://pride34.ru/wp-content/uploads/2021/04/akrobat-section-cover.jpg	https://pride34.ru/wp-content/uploads/2021/04/akrobat-section-cover.jpg	Акробатика формирует красивую осанку, плавность движений и помогает развить гибкость, ловкость, смелость и координацию. Тренер Наталья Чижикова.<br>Расписание: Вт 18:30–20:00; Чт 18:30–20:30<br>1 занятие — 400 р; 8 занятий — 2400 р			
kids_5	kids	1	Детская растяжка	stretching_kids	растяжка и развитие гибкости для детей	https://pride34.ru/wp-content/uploads/2021/04/IMG_3997-scaled-e1621464011950.jpg	https://pride34.ru/wp-content/uploads/2021/04/IMG_3997-scaled-e1621464011950.jpg	Занятия по растяжке помогают детям гармонично развиваться, улучшают гибкость, координацию и выносливость, снимают избыток энергии и развивают дисциплину. Тренер Елена Чернова.<br>Расписание: Пн, Ср, Пт 17:00–18:00<br>1 занятие — 350 р; 8 занятий — 2000 р; 12 занятий — 2400 р			
kids_6	kids	1	Художественная гимнастика	rhythmic	грация, гибкость и артистичность	https://pride34.ru/wp-content/uploads/2021/04/sovremennaja-horeografija.jpg	https://pride34.ru/wp-content/uploads/2021/04/sovremennaja-horeografija.jpg	Художественная гимнастика сочетает элементы танца и акробатики, развивает грацию, гибкость, выносливость и артистичность. Занятия формируют уверенность и творческое самовыражение.<br>Расписание и тренер уточняйте у администратора.<br>1 занятие — 350 р; 8 занятий — 2400 р; 12 занятий — 2800 р			
kids_7	kids	1	Детский балет	ballet_kids	первые шаги в мире балета для детей	https://pride34.ru/wp-content/uploads/2021/04/detskij-balet.jpg	https://pride34.ru/wp-content/uploads/2021/04/detskij-balet.jpg	Классический балет развивает осанку, координацию, музыкальность и творческое мышление у детей. Тренер Надежда Яковлева.<br>Расписание: Вт 17:00–18:00; Чт 17:30–18:30<br>1 занятие — 400 р; персональная тренировка — 700 р; 4 занятия — 1400 р; 8 занятий — 2400 р; 12 занятий — 2800 р			
kids_8	kids	1	Современная хореография	modern_choreo_kids	танцы модерн для развития пластики и эмоций	https://pride34.ru/wp-content/uploads/2021/04/contemporary-choreography.jpg	https://pride34.ru/wp-content/uploads/2021/04/contemporary-choreography.jpg	Занятия по современной хореографии помогают детям выразить эмоции, развивают пластику, координацию и творческое мышление. Тренер Надежда Яковлева.<br>Расписание: Вт, Чт 16:00–17:30; Сб 17:00–18:30 и 18:30–20:00<br>1 занятие — 400 р; персональная тренировка — 700 р; 4 занятия — 1400 р; 8 занятий — 2400 р; 12 занятий — 2800 р			
kids_9	kids	1	Современный и эстрадный танец	modern_estrada_kids	эстрадный и современный танец для детей	https://pride34.ru/wp-content/uploads/2021/04/popdance-section-cover.jpg	https://pride34.ru/wp-content/uploads/2021/04/popdance-section-cover.jpg	Комбинация эстрадных и современных танцевальных стилей (RNB, хип‑хоп, джаз‑фанк) учит детей чувствовать ритм, развивает гибкость и уверенность. Тренер Алексей Шестаков.<br>Расписание: Пн, Ср, Пт 18:00–19:00<br>1 занятие — 300 р; 8 занятий — 1600 р; 12 занятий — 1800 р			
